"R0000100","R0000149","R0000150","R0000151","R0000152","R0000153","R0000154","R0000155","R0000156","R0000157","R0000158","R0000159","R0000162","R0000163","R0000164","R0000165","R0000166","R0214700","R0214800","R4125101","R4125801","R4126501","R4127201","R4127901","R4128601","R4129301","R4130001","R4130701","R4131401","R4132101","R4132801","R4133701","R4521500","R4521700","R4521800","R4521900","R4522000","R4522100","R4522200","R4522300","R4522400","R4522500","R4522600","R4522700","R4522800","T0002000","T0002100","T0002200","T0002300","T0002400","T0002500","T0002600","T0002700","T0002800","T0002900","T0003000","T0003100","T0003200","T0003300","T0003400","T0003500","T0003600","T0003700","T0003800","T0003900","T0004000","T0004100","T0004200","T0004300","T0004400","T0004500"
4458,4458,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4459,4459,4460,6,4461,6,-4,-4,-4,-4,-4,-4,1,2,-4,-4,-4,3,2,4460,4461,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4460,4459,4461,6,4459,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4461,4459,4459,7,4460,6,-4,-4,-4,-4,-4,-4,2,1,-4,-4,-4,3,1,4460,4459,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4462,4462,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4463,4463,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4464,4464,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4465,4465,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4466,4466,4467,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,4467,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4467,4466,4466,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,4466,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4468,4468,4469,7,4470,6,-4,-4,-4,-4,-4,-4,2,1,-4,-4,-4,3,1,4470,4469,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4469,4468,4470,6,4468,6,-4,-4,-4,-4,-4,-4,2,1,-4,-4,-4,3,2,4468,4470,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4470,4468,4468,6,4469,7,-4,-4,-4,-4,-4,-4,1,2,-4,-4,-4,3,1,4468,4469,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4471,4471,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4472,4472,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4473,4473,4474,7,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,3,2,-4,-4,4474,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4474,4473,4473,7,-4,-4,-4,-4,-4,-4,-4,-4,4,-4,-4,-4,-4,3,2,-4,-4,-4,4473,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4475,4475,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4
4476,4476,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4477,4477,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4478,4478,4479,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,2,4479,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4479,4478,4478,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,2,4478,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4480,4480,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4481,4481,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4482,4482,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,0,1,1,1,0,0,1,-4,-4,-4,1,1,0,0,0,0,0,1,1,0,-4,-4,-4
4483,4483,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,0,0,0,0,-4,-4,-4,-4,-4,-4,0,0,0,1,1,1,1,-4,-4,-4,-4,-4,-4
4484,4484,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,-4,-4,-4,-4,-4,0,0,0,1,1,1,0,0,-4,-4,-4,-4,-4
4485,4485,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4486,4486,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4487,4487,4488,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,2,4488,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4488,4487,4487,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,2,4487,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4489,4489,4490,1,-4,-4,-4,-4,-4,-4,-4,-4,99,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4490,4489,4489,1,-4,-4,-4,-4,-4,-4,-4,-4,99,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4491,4491,4492,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,4492,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4492,4491,4491,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4493,4493,4494,7,4495,7,-4,-4,-4,-4,-4,-4,2,3,-4,-4,-4,3,2,-4,4494,4495,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4
4494,4493,4495,7,4493,7,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,3,2,-4,4493,4495,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,0,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4
4495,4493,4493,7,4494,7,-4,-4,-4,-4,-4,-4,2,3,-4,-4,-4,3,2,-4,4493,4494,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4
4496,4496,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4497,4497,4498,6,4499,7,-4,-4,-4,-4,-4,-4,3,5,-4,-4,-4,3,1,-4,-4,4498,-4,4499,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,1,0,1,0,1,-4,-4,-4,-4,-4,-4,0,1,0,1,0,1,0,-4,-4,-4,-4,-4,-4
4498,4497,4499,7,4497,6,-4,-4,-4,-4,-4,-4,2,1,-4,-4,-4,3,1,4497,4499,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4499,4497,4497,6,4498,6,-4,-4,-4,-4,-4,-4,2,3,-4,-4,-4,3,2,-4,4497,4498,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4500,4500,4501,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,4501,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4501,4500,4500,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,4500,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4502,4502,4503,6,4504,6,4505,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4503,4502,4504,6,4505,7,4502,6,-4,-4,-4,-4,3,4,1,-4,-4,3,1,4502,-4,4504,4505,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4504,4502,4505,7,4502,6,4503,6,-4,-4,-4,-4,4,1,3,-4,-4,3,1,4502,-4,4503,4505,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4505,4502,4502,6,4503,6,4504,6,-4,-4,-4,-4,1,3,4,-4,-4,3,2,4502,-4,4503,4504,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4506,4506,4507,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,2,4507,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4507,4506,4506,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,4506,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4508,4508,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4509,4509,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4510,4510,4511,36,4512,36,4513,36,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4511,4510,4512,36,4513,36,4510,36,-4,-4,-4,-4,99,99,99,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4
4512,4510,4513,36,4510,36,4511,36,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4513,4510,4510,36,4511,36,4512,36,-4,-4,-4,-4,99,99,99,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4514,4514,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4515,4515,4516,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,4516,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4516,4515,4515,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4517,4517,4518,6,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,-4,-4,3,1,-4,4518,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4518,4517,4517,6,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,-4,-4,3,1,-4,4517,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4519,4519,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4
4520,4520,4521,7,-4,-4,-4,-4,-4,-4,-4,-4,5,-4,-4,-4,-4,3,1,-4,-4,-4,-4,4521,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4
4521,4520,4520,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4522,4522,4523,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,2,4523,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4523,4522,4522,7,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,2,4522,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4
