"C0000100","C0000200","C0005300","C0005400","C0005700","C0579900","C0580000","C0580100","C0799400","C0799500","C0799600","C0998600","C0998700","C0998800","C1198600","C1198700","C1198800","C1507600","C1507700","C1507800","C1564500","C1564600","C1564700","C1799900","C1800000","C1800100","C2503500","C2503600","C2503700","C2532000","C2532100","C2532200","C2802800","C2802900","C2803000","C3111300","C3111400","C3111500","C3615000","C3615100","C3615200","C3993600","C3993700","C3993800"
379901,3799,3,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,92,121,43,90,119,-7,-7,-7,66,93,122,-3,-3,-3,-7,-7,-7
379902,3799,3,2,1999,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,60,104,-3,-3,-3,-3,-3,-3
380001,3800,3,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,63,105,41,82,114,47,71,108,59,79,112,75,97,128,-7,-7,-7,-7,-7,-7
380002,3800,3,1,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,90,119,55,98,131,63,96,126,61,79,112,61,57,103
380201,3802,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,44,98,38,75,110,62,97,128,65,92,121,72,93,122,-7,-7,-7,-7,-7,-7,-7,-7,-7
380401,3804,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,83,114,34,83,114,43,65,106,56,81,113,63,73,109,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
380402,3804,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18,79,112,29,60,104,62,98,131,64,88,118,80,99,135,-7,-7,-7,-7,-7,-7,-7,-7,-7
380601,3806,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,85,116,31,66,106,51,87,117,52,61,104,59,56,102,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
380602,3806,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,23,89,118,42,85,116,43,47,99,55,67,107,47,24,89,-7,-7,-7,-7,-7,-7,-7,-7,-7
380901,3809,3,1,2002,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,74,110,32,68,107
381201,3812,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,73,109,40,88,118,50,86,116,57,77,111,76,98,131,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381301,3813,3,1,1980,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381302,3813,3,1,1983,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381303,3813,3,1,1985,-7,-7,-7,-7,-7,-7,10,17,86,27,54,102,68,99,135,66,95,125,68,89,118,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381304,3813,3,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,66,106,40,80,113,49,82,114,56,79,112,66,80,113,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381401,3814,3,1,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,71,108,42,73,109,59,92,121,70,95,125,79,98,131
381701,3817,3,1,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,73,109,53,99,135,57,96,126,69,97,128,79,99,135
381901,3819,2,1,1984,-7,-7,-7,-7,-7,-7,12,23,89,28,44,98,37,22,88,42,19,87,40,4,74,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381902,3819,2,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,66,106,14,21,88,30,23,89,45,46,98,45,26,90,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381903,3819,2,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,21,88,16,24,89,34,28,91,55,72,109,49,37,95,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
381904,3819,2,1,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,7,12,82,30,76,111,47,78,112,42,24,89,63,73,109,-7,-7,-7,-7,-7,-7,-7,-7,-7
382101,3821,2,2,1982,-7,-7,-7,17,49,100,37,54,102,47,59,103,43,20,87,42,7,78,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
382102,3821,2,1,1984,-7,-7,-7,-7,-7,-7,14,39,96,23,20,87,30,8,79,42,19,87,48,27,91,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
382301,3823,2,1,1984,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,41,26,90,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
382302,3823,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,26,90,-7,-7,-7,-3,-3,-3,56,44,98,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
382401,3824,2,2,1982,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
382402,3824,2,1,1983,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
382403,3824,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
382601,3826,2,2,1984,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383201,3832,3,2,1984,-7,-7,-7,-7,-7,-7,13,37,95,23,20,87,46,58,103,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383501,3835,3,1,1984,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383601,3836,3,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,26,92,121,43,85,116,59,95,125,70,97,128,80,99,135,-7,-7,-7
383602,3836,3,2,1995,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,83,114,40,91,120,55,96,126,67,97,128,68,91,120,-7,-7,-7
383701,3837,3,2,1980,14,72,109,31,59,103,38,28,91,-7,-7,-7,53,42,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383702,3837,3,1,1984,-7,-7,-7,-7,-7,-7,14,39,96,-7,-7,-7,39,23,89,52,55,102,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383703,3837,3,2,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,49,100,42,67,107,-7,-7,-7,62,74,110,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383901,3839,3,2,1981,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383902,3839,3,2,1982,-7,-7,-7,16,69,107,29,54,102,46,71,108,54,67,107,68,87,117,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
383903,3839,3,2,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,45,98,34,66,106,46,67,107,-7,-7,-7,49,31,93,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
384201,3842,2,2,1978,43,85,116,47,59,103,50,47,99,59,52,101,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
384202,3842,2,1,1981,-7,-7,-7,41,93,122,57,97,128,66,97,128,70,94,123,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
384203,3842,2,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,47,71,108,50,56,102,64,75,110,-7,-7,-7,-7,-7,-7
384301,3843,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,66,106,23,52,101,-7,-7,-7,46,50,100,63,78,112,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
384302,3843,3,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,96,126,-7,-7,-7,51,89,118,62,91,120,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
384601,3846,3,1,1995,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,55,102,-3,-3,-3,39,18,86,-3,-3,-3,-7,-7,-7
384602,3846,3,1,1999,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,39,90,119,-3,-3,-3,-3,-3,-3
384901,3849,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,53,101,-7,-7,-7,55,89,118,62,79,112,-7,-7,-7,-7,-7,-7,-7,-7,-7
385101,3851,3,1,1981,9,17,86,23,38,95,38,32,93,41,17,86,45,21,88,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
385102,3851,3,1,1985,-7,-7,-7,-7,-7,-7,13,57,103,42,88,118,44,60,104,61,89,118,49,37,95,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
385301,3853,1,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18,88,118,45,96,126,59,98,131,68,97,128,68,87,117,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
385302,3853,1,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,98,131,34,72,109,63,98,131,63,87,117,70,90,119,-7,-7,-7,-7,-7,-7,-7,-7,-7
385901,3859,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,32,54,102,29,7,78,-3,-3,-3,43,12,82,-7,-7,-7,-7,-7,-7,-7,-7,-7
386401,3864,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
387601,3876,3,1,2000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,85,116,24,36,95,47,75,110
387701,3877,3,2,1984,-7,-7,-7,-7,-7,-7,24,71,108,45,88,118,55,85,116,65,89,118,79,98,131,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
387702,3877,3,2,1985,-7,-7,-7,-7,-7,-7,11,32,93,45,96,126,53,90,119,64,93,122,79,99,135,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
387703,3877,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,95,125,35,62,105,64,99,135,65,90,119,72,90,119,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
387901,3879,3,1,1979,18,53,101,38,43,97,60,89,118,67,89,118,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
387902,3879,3,2,1982,-7,-7,-7,27,80,113,43,77,111,44,43,97,64,84,115,66,77,111,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
388901,3889,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,98,131,39,90,119,60,99,135,58,91,120,64,82,114,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
388902,3889,3,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,16,59,103,43,81,113,59,93,122,64,86,116,71,88,118,-7,-7,-7,-7,-7,-7
389301,3893,3,1,1985,-7,-7,-7,-7,-7,-7,14,72,109,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
389302,3893,3,2,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
389901,3899,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,62,105,40,70,108,-3,-3,-3,65,89,118,76,96,126,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
389902,3899,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,77,111,46,92,121,52,83,114,69,96,126,68,82,114,-7,-7,-7,-7,-7,-7,-7,-7,-7
389903,3899,3,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,26,78,112,47,88,118,57,89,118,69,92,121,-7,-7,-7,-7,-7,-7,-7,-7,-7
389904,3899,3,2,1995,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,39,96,31,72,109,56,93,122,64,91,120,65,80,113,-7,-7,-7
390601,3906,3,2,1984,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
390602,3906,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
390801,3908,3,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,53,101,-7,-7,-7,-3,-3,-3,67,97,128,67,86,116,-7,-7,-7,-7,-7,-7
390802,3908,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,55,93,122,63,89,118,59,61,104,-7,-7,-7
391301,3913,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18,88,118,30,69,107,60,98,131,63,92,121,64,80,113
391302,3913,3,2,1999,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,83,114,36,86,116,49,90,119,59,90,119
391401,3914,3,2,1980,6,3,72,36,58,103,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
391402,3914,3,1,1981,-7,-7,-7,19,41,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
391501,3915,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,98,131,51,99,135,70,99,135,74,99,135,79,99,135,-7,-7,-7,-7,-7,-7,-7,-7,-7
391502,3915,3,1,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,32,99,135,55,99,135,67,99,135,74,99,135,82,99,135
391503,3915,3,2,2005,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
391801,3918,3,1,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,64,105,45,95,125,70,99,135,82,99,135,82,99,135
391802,3918,3,1,1999,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,66,106,54,99,135,68,99,135,68,98,131
391901,3919,3,1,1985,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,52,101,43,72,109,-3,-3,-3,58,65,106,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
391902,3919,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,24,80,113,32,48,99,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7
391903,3919,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,52,101,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7
392101,3921,3,1,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,80,113,48,94,123,65,99,135,66,93,122,77,98,131,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
392102,3921,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,39,96,13,7,78,41,44,98,57,77,111,69,88,118,-7,-7,-7,-7,-7,-7,-7,-7,-7
392103,3921,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,80,113,47,93,122,44,52,101,62,82,114,62,62,105,-7,-7,-7,-7,-7,-7
392201,3922,3,2,1983,-7,-7,-7,21,96,126,44,92,121,53,90,119,55,77,111,71,92,121,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
392301,3923,3,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,64,105,37,87,117,39,41,97,63,92,121,72,96,126,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
392302,3923,3,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,53,101,40,91,120,61,99,135,68,98,131,71,95,125,-7,-7,-7,-7,-7,-7,-7,-7,-7
392303,3923,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,86,116,51,98,131,56,93,122,56,72,109,76,97,128,-7,-7,-7
392304,3923,3,2,1999,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,77,111,55,97,128,62,93,122
392401,3924,3,1,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,38,95,125,40,70,108,64,97,128,74,99,135
392402,3924,3,1,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,36,93,122,52,97,128,68,99,135,66,91,120
392701,3927,3,2,1976,44,60,104,54,67,107,58,53,101,62,51,100,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
392801,3928,3,2,1980,15,73,109,38,70,108,48,71,108,55,67,107,55,46,98,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
392901,3929,3,2,1976,44,60,104,-3,-3,-3,59,52,101,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
392902,3929,3,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,16,80,113,-7,-7,-7,43,59,103,48,53,101,45,23,89,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393101,3931,2,2,1977,36,51,100,40,18,86,49,42,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393102,3931,2,2,1977,39,61,104,42,27,91,44,22,88,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393103,3931,2,2,1983,-7,-7,-7,12,52,101,19,34,94,-7,-7,-7,35,7,78,37,4,74,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393104,3931,2,1,1983,-7,-7,-7,7,6,77,16,24,89,-7,-7,-7,44,33,93,38,5,75,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393105,3931,2,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,28,91,19,22,88,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393401,3934,2,1,1979,18,53,101,40,58,103,45,43,97,52,49,100,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393501,3935,2,1,1983,-7,-7,-7,10,26,90,33,75,110,-3,-3,-3,-3,-3,-3,63,76,111,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393502,3935,2,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,33,93,30,35,94,-7,-7,-7,53,53,101,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393601,3936,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,49,75,110,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
393602,3936,2,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
394001,3940,2,1,1984,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
394401,3944,2,1,1977,23,12,82,41,17,86,45,23,89,50,27,91,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
394402,3944,2,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,26,90,17,27,91,27,17,86,42,22,88,47,30,92,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
394501,3945,2,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,53,101,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
394502,3945,2,2,1999,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-3,-3,-3
394801,3948,2,1,1974,59,75,110,59,52,101,62,49,100,71,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
394802,3948,2,2,1975,40,18,86,40,8,79,47,20,87,44,8,79,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
