"C0000100","C0000200","C0005300","C0005400","C0005700","C0579900","C0580000","C0580100","C0799400","C0799500","C0799600","C0998600","C0998700","C0998800","C1198600","C1198700","C1198800","C1507600","C1507700","C1507800","C1564500","C1564600","C1564700","C1799900","C1800000","C1800100","C2503500","C2503600","C2503700","C2532000","C2532100","C2532200","C2802800","C2802900","C2803000","C3111300","C3111400","C3111500","C3615000","C3615100","C3615200","C3993600","C3993700","C3993800"
1001,10,3,2,1983,-7,-7,-7,13,57,103,15,14,84,-3,-3,-3,60,83,114,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1002,10,3,2,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,65,106,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1201,12,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,66,106,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1202,12,3,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1601,16,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,22,74,110,38,64,105,51,77,111,55,64,105,57,46,98,-7,-7,-7,-7,-7,-7,-7,-7,-7
1602,16,3,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,42,97,41,62,105,45,43,97,51,47,99,-7,-7,-7,-7,-7,-7
1603,16,3,2,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18,79,112,25,39,96,10,1,65,44,29,92,51,39,96
1901,19,3,2,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18,53,101,-7,-7,-7,42,27,91,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
2001,20,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,74,110,39,78,112,52,83,114,50,52,101,66,79,112,-7,-7,-7,-7,-7,-7,-7,-7,-7
2501,25,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,73,109,30,63,105,44,60,104,63,89,118,66,82,114,-7,-7,-7,-7,-7,-7,-7,-7,-7
2502,25,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,27,91,44,76,111,49,63,105,-3,-3,-3,-7,-7,-7,-7,-7,-7
