"","Subject2Tag","Subject1Tag","R","CRace1","CGender1","HtSt1","AgeHt1","CRace2","CGender2","HtSt2","AgeHt2"
"190",25402,25401,0.5,3,1,0.5422792916,19,3,2,2.1789218981,19
"191",25403,25401,0.25,3,1,0.5422792916,19,3,1,NA,18
"192",25403,25402,0.25,3,2,2.1789218981,19,3,1,NA,18
"193",25404,25401,0.25,3,1,0.5422792916,19,3,1,NA,12
"194",25404,25403,0.25,3,1,NA,18,3,1,NA,12
"195",25404,25402,0.25,3,2,2.1789218981,19,3,1,NA,12
"196",25405,25402,0.25,3,2,2.1789218981,19,3,2,NA,NA
"197",25405,25401,0.25,3,1,0.5422792916,19,3,2,NA,NA
"198",25405,25403,0.25,3,1,NA,18,3,2,NA,NA
"199",25405,25404,0.5,3,1,NA,12,3,2,NA,NA
"200",25502,25501,0.5,3,2,NA,18,3,2,0.49858852,19
"201",25503,25501,0.5,3,2,NA,18,3,2,0.49858852,19
"202",25503,25502,0.5,3,2,0.49858852,19,3,2,0.49858852,19
"203",25504,25501,0.5,3,2,NA,18,3,2,NA,16
"204",25504,25503,0.5,3,2,0.49858852,19,3,2,NA,16
"205",25504,25502,0.5,3,2,0.49858852,19,3,2,NA,16
"206",25505,25502,0.5,3,2,0.49858852,19,3,1,NA,NA
"207",25505,25501,0.5,3,2,NA,18,3,1,NA,NA
"208",25505,25503,0.5,3,2,0.49858852,19,3,1,NA,NA
"209",25505,25504,0.5,3,2,NA,16,3,1,NA,NA
"210",25602,25601,0.25,3,2,0.49858852,19,3,1,NA,NA
"211",25802,25801,0.5,3,2,1.1707218712,19,3,2,0.8346551956,19
"212",25803,25801,0.5,3,2,1.1707218712,19,3,1,-1.41812063,19
"213",25803,25802,0.5,3,2,0.8346551956,19,3,1,-1.41812063,19
"214",26202,26201,0.5,3,2,0.1625218443,19,3,2,NA,6
"215",26502,26501,0.5,3,2,NA,15,3,2,NA,14
"216",26503,26501,0.5,3,2,NA,15,3,1,NA,13
"217",26503,26502,0.5,3,2,NA,14,3,1,NA,13
"218",26504,26501,0.5,3,2,NA,15,3,1,NA,10
"219",26504,26502,0.5,3,2,NA,14,3,1,NA,10
"220",26504,26503,0.5,3,1,NA,13,3,1,NA,10
"221",27202,27201,0.5,3,1,0.5422792916,19,3,1,0.8690126119,19
"222",27203,27201,0.5,3,1,0.5422792916,19,3,1,NA,16
"223",27203,27202,0.5,3,1,0.8690126119,19,3,1,NA,16
"224",27204,27201,0.5,3,1,0.5422792916,19,3,2,NA,NA
"225",27204,27202,0.5,3,1,0.8690126119,19,3,2,NA,NA
"226",27204,27203,0.5,3,1,NA,16,3,2,NA,NA
"227",27502,27501,0.5,3,2,NA,16,3,1,NA,14
"228",27802,27801,0.25,3,2,0.1625218443,19,3,2,NA,16
"229",27803,27801,0.25,3,2,0.1625218443,19,3,2,NA,12
"230",27803,27802,0.5,3,2,NA,16,3,2,NA,12
"231",27804,27801,0.25,3,2,0.1625218443,19,3,1,NA,NA
"232",27804,27802,0.5,3,2,NA,16,3,1,NA,NA
"233",27804,27803,0.5,3,2,NA,12,3,1,NA,NA
"234",28202,28201,0.5,3,2,NA,16,3,2,NA,NA
"235",28502,28501,0.25,1,2,-1.181744858,19,1,2,-0.173544831,19
"236",28503,28501,0.25,1,2,-1.181744858,19,1,1,-1.41812063,19
"237",28503,28502,0.5,1,2,-0.173544831,19,1,1,-1.41812063,19
"238",28702,28701,0.5,3,2,0.49858852,19,3,1,NA,16
"239",28802,28801,0.25,3,1,0.5422792916,19,3,1,1.1957459322,19
"240",28803,28801,0.25,3,1,0.5422792916,19,3,2,NA,14
"241",28803,28802,0.25,3,1,1.1957459322,19,3,2,NA,14
"242",28804,28801,0.25,3,1,0.5422792916,19,3,1,NA,NA
"243",28804,28802,0.25,3,1,1.1957459322,19,3,1,NA,NA
"244",28804,28803,0.25,3,2,NA,14,3,1,NA,NA
"245",28805,28801,0.25,3,1,0.5422792916,19,3,2,NA,NA
"246",28805,28804,0.5,3,1,NA,NA,3,2,NA,NA
"247",28805,28802,0.25,3,1,1.1957459322,19,3,2,NA,NA
"248",28805,28803,0.25,3,2,NA,14,3,2,NA,NA
"249",28806,28801,0.25,3,1,0.5422792916,19,3,1,NA,NA
"250",28806,28803,0.25,3,2,NA,14,3,1,NA,NA
"251",28806,28802,0.25,3,1,1.1957459322,19,3,1,NA,NA
"252",28806,28804,0.5,3,1,NA,NA,3,1,NA,NA
"253",28806,28805,0.5,3,2,NA,NA,3,1,NA,NA
"254",28902,28901,0.25,3,1,1.5224792524,19,3,2,0.8346551956,19
"255",29002,29001,0.25,1,2,-0.845678183,19,1,1,-0.111187349,19
"256",29202,29201,0.5,3,1,NA,18,3,1,NA,16
"257",29302,29301,0.5,3,2,-1.181744858,19,3,1,NA,18
"258",29402,29401,0.5,3,1,1.1957459322,19,3,2,NA,2
"259",29403,29401,0.5,3,1,1.1957459322,19,3,1,NA,NA
"260",29403,29402,0.5,3,2,NA,2,3,1,NA,NA
"261",29702,29701,0.25,3,1,-1.74485395,19,3,2,NA,15
