"SubjectTag","SurveyYear","Age","Gender","Value","DV","ZGenderAge"
638600,1981,23,1,0.06388,-1.52299482554897,-1.32066373356583
638700,1981,23,2,0.01305,-2.22472060718421,-1.94935038785498
638800,1981,24,1,0.06622,-1.50454925889617,-1.34935141785913
638900,1981,21,2,0.01912,-2.0722728809941,-1.87509197248566
639000,1981,20,1,0.17898,-0.919259224718357,-0.562719549485521
639100,1981,19,1,0.14229,-1.07008733351084,-0.676682447290403
639200,1981,21,1,0.09563,-1.30686077485965,-1.10951955129082
639300,1981,17,2,0.20323,-0.830139352229408,-0.561713502048137
639400,1981,19,2,0.01656,-2.13062558567191,-1.85924675887773
639500,1981,23,1,0.00193,-2.88938187528531,-2.61911567854227
639600,1981,18,2,0.07674,-1.42734665120914,-1.15963754103993
639700,1981,19,2,0.06913,-1.48230183603064,-1.20698816102325
639800,1981,16,1,0.0772,-1.42416055637722,-1.04322820790812
639900,1981,22,2,0.02814,-1.90886119562965,-1.74026206437143
640000,1981,19,2,0.01195,-2.25873297465003,-1.98813166546323
640100,1981,18,1,0.30506,-0.509902172303277,-0.193142310520005
640200,1981,17,1,0.65268,0.392566075320849,0.653463143616021
640300,NA,NA,NA,NA,NA,NA
640400,1981,21,2,0.03196,-1.85273744629347,-1.65087183676265
640500,1981,16,2,0.20448,-0.825725189109461,-0.660660230602133
640600,1981,19,1,0.14627,-1.05256588392928,-0.660349727561156
640700,1981,17,2,0.05406,-1.60670088226547,-1.37383671776791
640800,1981,21,2,0.02145,-2.02468227344208,-1.82648582150596
640900,1981,20,2,0.34395,-0.401706554731863,-0.087254533335394
641000,1981,19,2,0.01016,-2.32038610272493,-2.05015898266968
641100,1981,17,1,0.76181,0.712136910144162,0.955928680578481
641200,1981,20,2,0.24364,-0.694641496461784,-0.389871475728465
641300,1981,23,2,0.18757,-0.886886519673902,-0.647054832136038
641400,1981,21,2,0.11322,-1.20958025102286,-0.993990209377758
641500,1981,17,1,0.04251,-1.72227342161877,-1.34817778955901
641600,1981,20,2,0.02658,-1.93361891419494,-1.66979921543169
641700,1981,18,2,0.02083,-2.03690063993214,-1.8068797978877
641800,1981,21,2,0.19216,-0.869964142934406,-0.647126979971754
641900,1981,16,1,0.01254,-2.24016828159828,-1.84806496776989
642000,1981,22,1,0.08199,-1.3918098051548,-1.24288089931243
642100,1981,20,1,0.16662,-0.967608361010312,-0.608787810649412
642200,1981,23,2,0.02855,-1.90254455347847,-1.63573269279321
642300,1981,23,1,0.08574,-1.36746372482181,-1.17286545028843
642400,1981,18,2,0.06416,-1.5207603015204,-1.25882688762187
642500,1981,17,1,0.06461,-1.51718493017165,-1.15406683220374
642600,1981,23,2,0.02313,-1.99301321534448,-1.72379812435894
642700,1981,20,2,0.14174,-1.07253455933799,-0.780254550426958
642800,1981,17,2,0.06613,-1.50524927901972,-1.26773926240718
642900,1981,17,2,0.16596,-0.970253799484246,-0.708244319082189
643000,1981,23,1,0.21071,-0.803960132419089,-0.637378572176043
643100,1981,23,1,0.04569,-1.68816270617113,-1.47761966774486
643200,1981,17,1,0.00296,-2.75217984381383,-2.32295760381379
643300,1981,19,1,0.20449,-0.825689940710186,-0.448866015745059
643400,1981,23,2,0.07753,-1.42188375463213,-1.16784027773984
643500,1981,21,1,0.11568,-1.19686289163821,-1.00202017196092
643600,1981,19,1,0.21184,-0.800053156230037,-0.4249685400411
643700,1981,22,2,0.57313,0.184348587136651,0.420292283178557
643800,1981,16,2,0.25567,-0.656752610492018,-0.487044646882788
643900,1981,19,1,0.15769,-1.00399712366476,-0.6150760790936
644000,1981,20,1,0.04047,-1.74525782347011,-1.34975158535327
644100,1981,18,1,0.14319,-1.06609654784213,-0.706105913063557
644200,1981,16,2,0.20026,-0.840692898461,-0.676039220597263
644300,1981,23,1,0.01065,-2.30262413523196,-2.06153082076038
644400,1981,23,2,0.07116,-1.46720609280476,-1.21195866291782
644500,1981,16,2,0.23088,-0.735951851758775,-0.568420113926988
