"SubjectTag","Score","Age"
61803,NA,NA
61901,105,12
61902,117.5,11
61903,95,10
61904,114,9
61905,110.5,9
61906,95,9
62101,99,9
62102,114.5,9
62103,91,10
62201,107,8
62202,118.5,8
62203,NA,NA
62301,93,8
62302,102,7
62701,84.5,13
62702,108,9
62703,104.5,9
62704,NA,NA
63201,91,11
63202,89,9
63203,97.5,7.5
63401,NA,NA
63402,NA,NA
63403,NA,NA
63501,105.5,10
63502,99,10
64001,114.5,9
64002,98.5,9
64201,108,8
64202,85,7
64301,NA,NA
64801,110,8
65001,99,8
65002,102,7
65401,87,8
65601,126.5,9
65602,122.5,9.5
65701,122.5,8
65702,117,7.5
66001,116,10
66002,109,9
66003,108.5,7
66201,109,8
66202,102,8
66401,125,10
66402,85,9
66501,104.5,7
66502,111,6
66801,NA,NA
66802,NA,NA
66803,NA,NA
66804,NA,NA
66805,NA,NA
67701,88,8
67702,116,9
67703,103,9
67704,94,9
68801,110.5,8
68802,110,9
68901,99,9
68902,109,6
68903,NA,NA
69101,83,7
69102,90,6
69103,NA,NA
69201,100.5,9
69202,78,10
69401,NA,NA
69402,NA,NA
69403,NA,NA
69404,NA,NA
69601,NA,NA
69801,71.5,12
69802,109,9.5
70301,107,10
70302,105,8
70303,85,10
70401,126,8
70402,92,9
70601,98,12
70602,97.5,10
70603,92,9
70604,83,9
70605,101,9
70801,93,10
71201,115,9
71202,105,10
71301,95,9
71302,104,9
72001,92,9
72002,93,10
72101,103,10
72102,77,8
72401,111,9.5
72402,110,10
72601,84,8
72602,102.5,11
72603,75,10
73301,90.5,8
73302,89.5,8
73303,87,10
73304,101,11
73601,114,10
73602,109.5,9
73901,105,10
73902,97,7
73903,112,8
74001,97,9
74301,128,12
74302,106,11
74401,80.5,9
74402,102.5,6
74601,108,9
74602,110,10
75201,111,7
75202,114,10
75501,105,11
75502,89,10
75503,111.5,8
75601,90,9
75602,99,9
75603,87,10
75604,93,9
75605,98,6
75701,107,11
75702,122,11
75801,106,9
75901,88,12
75902,97,9
75903,84,9
75904,104.5,9
76101,110,9.5
76102,96,9
76103,108.5,9
76401,105.5,11
76402,101,10
76403,108,9
76404,119,10
76405,97,9
76801,99,9
76802,106,9
76803,90.5,9.5
76804,100,9
77001,98,9
77002,89,9
77501,103,9
77502,111,9
77503,110,9
77901,107.5,8
78301,112,11
78501,NA,NA
78701,NA,NA
78801,NA,NA
78901,99,9
79001,101,7
79201,102,9
79202,102,9
79203,106,9
79204,111,8
80101,128,10
80102,104,10
80103,98.5,9
80301,92,9
80302,96,9
80303,101,9
80304,109,9
80305,95,7
80306,126,6
80401,105,10
80402,112,9
80501,104,8
81001,122,9
81101,123,9
81201,116,8
81202,116,7
81203,116,12
81204,118,11
81401,107.5,8.5
81402,105.5,9
81601,NA,NA
81602,NA,NA
82001,124,8
82401,NA,NA
82801,99,9
82802,105.5,9
82901,102,10
82902,98,9
83001,98,8
83101,94,10
83102,106,9
83103,103,7
83104,NA,NA
83401,95,9
83402,94,9
83403,96,10
83501,NA,NA
83502,94,9
83601,102,7.5
83602,111.5,10
83603,99.5,9
83901,74,9
84001,87,8
84002,65,9
84101,104,10
84102,65,9
84201,109,11
84301,107,10
84501,100,15
84502,NA,NA
84503,90.5,6
84801,117,10
85201,111,8
85401,102.5,9
85402,100,10
85403,91,10
85404,77,7
85501,105.5,7.5
85502,99,8
85601,101,7
85602,105,7
85603,99,11
86201,115,11
86202,109.5,10
86601,76.5,7
86602,107,10
86603,90,9
86701,NA,NA
86901,NA,NA
86902,NA,NA
87501,100.5,9
87601,112,12
87602,105,10
87603,100,7
87604,NA,NA
87901,108,10
87902,100,8
88001,105,10
88002,107,10
88003,108,8.5
88601,101.5,8
88602,99.5,7
88701,116,9
88702,90,10
88901,98,10
88902,99,9
89301,108,9
89302,111,9
89303,101,9
89401,NA,NA
89402,NA,NA
89403,NA,NA
89501,101,8
89502,111,6
89601,121,8
89602,111,10
89801,103.5,9
89802,114,9
89803,114.5,8
90001,109,9
90002,121,9
90003,112,9
90004,65,7
90401,NA,NA
90601,116,9
90602,119,8
90603,112,8
91201,113,10
91202,126,9
91401,105,9
91402,115,9
91801,109,8
92301,111.5,9
92302,108.5,9
92303,113,9
92801,96.5,9.5
92802,98,7
93001,NA,NA
