"SubjectTag","SubjectID","Generation","HeightZGender","HeightZGenderAge","MathStandardized"
359701,359701,2,1.23324442432842,1.22000486692871,113
359702,359702,2,1.5476937974027,1.4615362418355,104
359703,359703,2,-0.705114756255265,-0.829210626116616,93
359704,359704,2,0.497058848728117,0.515390182481005,103
359705,359705,2,NA,NA,111
360101,360101,2,2.59832874607729,2.44648457872464,104
360102,360102,2,0.847270498286312,0.839360371600536,117
360103,360103,2,0.847270498286312,0.910616209567265,126
360301,360301,2,1.87936415118965,1.83784973143745,102
360302,360302,2,NA,NA,NA
360303,360303,2,0.587124697467192,0.49798167713349,102
360501,360501,2,-0.382054892824651,-0.473844341084092,101
360502,360502,2,-0.903787749504662,-0.871595588657143,131
360601,360601,2,2.20242401462026,2.18976990445086,114
360602,360602,2,0.587124697467192,0.573494841913946,101
360603,360603,2,0.497058848728117,0.476587904946359,118
360901,360901,2,-0.903787749504662,-0.923451524904423,116
360902,360902,2,NA,NA,94
360903,360903,2,NA,NA,110
361001,361001,2,-0.553576099946467,-0.508360431942781,97
361101,361101,2,0.146847199169922,0.15908362877823,103
361102,361102,2,0.146847199169922,0.15908362877823,99
361103,361103,2,-0.203364450388273,-0.209997252022065,90
361301,361301,2,0.847270498286312,0.879081823385459,110
361401,361401,2,1.5476937974027,1.4615362418355,110
361402,361402,2,1.23324442432842,1.17035305243433,135
362401,362401,2,NA,NA,NA
362402,362402,2,0.497058848728117,0.474020642707521,112
362601,362601,2,-0.903787749504662,-0.939376381136813,97
362602,362602,2,-0.0589950293940365,-0.159373996370738,113
363101,363101,2,NA,NA,NA
363301,363301,2,0.497058848728117,0.476587904946359,106
363302,363302,2,-0.553576099946467,-0.575684740232358,103
363303,363303,2,NA,NA,108
363501,363501,2,0.587124697467192,0.504319552660416,97
363502,363502,2,-0.203364450388273,-0.211993099327904,65
363701,363701,2,0.910184560897806,0.86854849185133,101
363702,363702,2,NA,NA,NA
363703,363703,2,1.5476937974027,1.4615362418355,93
364101,364101,2,-0.553576099946467,-0.570531741391015,114
364102,364102,2,-0.903787749504662,-0.911722153348207,110
364103,364103,2,NA,NA,120
364701,364701,2,NA,NA,NA
364702,364702,2,0.910184560897806,0.837702097354673,NA
364703,364703,2,1.55630428775903,1.5432598794361,97
364801,364801,2,-0.705114756255265,-0.751920568333191,97
364802,364802,2,NA,NA,NA
364803,364803,2,-0.382054892824651,-0.495828081422358,92
364804,364804,2,-0.553576099946467,-0.570531741391015,86
364805,364805,2,-0.553576099946467,-0.575684740232358,97
364901,364901,2,1.19748214784451,1.13322012953912,96
364902,364902,2,0.587124697467192,0.49798167713349,101
364903,364903,2,-0.553576099946467,-0.575684740232358,89
365001,365001,2,-0.903787749504662,-0.935339426475638,98
365002,365002,2,-0.0589950293940365,-0.1624455367281,104
365003,365003,2,0.910184560897806,0.86854849185133,117
365101,365101,2,-1.02817461968588,-1.04278022062297,116
365201,365201,2,-0.203364450388273,-0.205724056306393,104
365202,365202,2,NA,NA,NA
365401,365401,2,-1.67429434654711,-1.68929024563774,109
365402,365402,2,-1.99735420997772,-2.01254525814512,99
365403,365403,2,-0.705114756255265,-0.816729669874966,87
365404,365404,2,-1.25399939906286,-1.28630163442659,97
365405,365405,2,-1.99735420997772,-1.73958656403609,105
365406,365406,2,NA,NA,122
365407,365407,2,NA,NA,109
365408,365408,2,NA,NA,82
365409,365409,2,NA,NA,93
365410,365410,2,NA,NA,77
365501,365501,2,-0.203364450388273,-0.205724056306393,98
365502,365502,2,0.264064834036578,0.170937007966158,88
365901,365901,2,-0.903787749504662,-0.935339426475638,87
365902,365902,2,-0.0589950293940365,-0.0730151831008213,94
