"SubjectTag","ExtendedID","Generation","Gender","Mob","HeightInchesLateTeens","WeightPoundsLateTeens","AfqtRescaled2006","AfqtRescaled2006Gaussified","Yob","HeightZGender","HeightZGenderYob","WeightZGender","WeightZGenderYob","BmiLateTeens","Afi","Afm"
210600,2106,1,1,1958-03-15,74,225,0.372399985790253,-0.3255035826402,1958,1.30556943283763,1.26740959396301,2.27646354397912,1.94837319675685,28.8851351351351,24,NA
210700,2106,1,1,1961-10-15,71,210,0.732840001583099,0.621425046291264,1961,0.339515923907859,0.326562023138883,1.71793484101139,1.79103382668484,29.2858559809562,18,NA
210800,2108,1,1,1960-06-15,73,170,0.758390009403229,0.701133058496569,1960,0.983551596527705,1.0355422830685,0.228524966430793,0.173738234896139,22.4263464064552,17,NA
210900,2108,1,1,1962-06-15,72,165,0.486710011959076,-0.0333192237705705,1962,0.661533760217782,0.701737244011679,0.0423487321082175,0.143292627540465,22.3755787037037,18,NA
211000,2110,1,1,1963-04-15,72,160,0.886680006980896,1.20905950305122,1963,0.661533760217782,0.694939954648723,-0.143827502214357,0.0735933649234322,21.6975308641975,NA,NA
211100,2110,1,1,1964-08-15,71,145,0.831409990787506,0.95975205355456,1964,0.339515923907859,0.464107974137956,-0.702356205182083,-0.33653033459873,20.221186272565,19,NA
211200,2112,1,2,1958-01-15,65,126,0.80375999212265,0.855128495773641,1958,0.299333671947717,0.210989563976025,-0.217303061651484,-0.269835285207055,20.9652071005917,18,13
211300,2113,1,1,1962-10-15,70,160,0.964230000972748,1.8020343709809,1962,0.0174980875979365,0.071722273487838,-0.143827502214357,-0.0462582779791352,22.9551020408163,20,NA
211400,2114,1,2,1963-11-15,65,135,0.413859993219376,-0.217626691053608,1963,0.299333671947717,0.290753547622277,0.155136836603254,0.305515635712383,22.4627218934911,21,11
211500,2115,1,2,1958-12-15,62,104,0.154300004243851,-1.01816403396594,1958,-0.789739089357928,-0.894576828427504,-1.12771170182973,-1.14604487382477,19.0197710718002,16,14
211600,2115,1,1,1961-07-15,72,150,0.164649993181229,-0.975524839827422,1961,0.661533760217782,0.657223151170722,-0.516179970859508,-0.543352151143849,20.3414351851852,17,NA
211700,2115,1,1,1963-03-15,73,140,0.148990005254745,-1.04077494592319,1963,0.983551596527705,1.00442738384451,-0.888532439504658,-0.745884451288327,18.4687558641396,12,NA
211800,2118,1,1,1961-10-15,70,160,0.298460006713867,-0.528834859302859,1961,0.0174980875979365,-0.00409910489295508,-0.143827502214357,-0.154287821505734,22.9551020408163,16,NA
211900,2119,1,2,1958-02-15,64,128,0.603259980678558,0.261794293712568,1958,-0.0636905818208312,-0.157532566825151,-0.134538639817098,-0.19017986805999,21.96875,17,12
212000,2120,1,2,1963-11-15,62,120,0.516240000724792,0.0407188943791544,1963,-0.789739089357928,-0.752538593845887,-0.465596327154643,-0.375374393878323,21.945889698231,18,13
212100,2121,1,2,1957-12-15,69,170,0.233679994940758,-0.726781219083797,1957,1.75143068702191,1.79703047922809,1.60351421870501,1.40868039324816,25.1018693551775,17,11
212200,2122,1,1,1959-04-15,71,193,0.0954499989748001,-1.30792131828454,1959,0.339515923907859,0.323059415923374,1.08493564431464,0.970406415000523,26.9150962110692,16,NA
212300,2123,1,2,1961-07-15,66,126,0.601719975471497,0.257801574787987,1961,0.662357925716266,0.700193635903977,-0.217303061651484,-0.234478941084413,20.3347107438017,21,12
212400,2123,1,2,1964-09-15,62,107,0.842480003833771,1.00470277335928,1964,-0.789739089357928,-0.757971781621965,-1.00356506907815,-0.90310409905705,19.568418314256,NA,12
