"SubjectTag","SubjectID","Generation","HeightZGenderAge","WeightZGenderAge","MathStandardized"
835304,835304,2,1.499193,1.499193,96
835401,835401,2,0.1590836,0.1590836,104
835402,835402,2,0.1590836,0.1590836,96.5
835701,835701,2,-1.495976,-1.495976,101
835702,835702,2,0.1516985,0.1516985,109.5
835703,835703,2,-1.400108,-1.400108,92
835704,835704,2,-0.9117222,-0.9117222,101.5
835901,835901,2,1.13322,1.13322,93
835902,835902,2,0.888699,0.888699,88.5
835903,835903,2,0.5238913,0.5238913,96.5
835904,835904,2,-0.5777476,-0.5777476,76
835905,835905,2,-0.2234706,-0.2234706,69
836201,836201,2,NA,NA,96
836202,836202,2,NA,NA,NA
836301,836301,2,NA,NA,NA
836302,836302,2,NA,NA,NA
836601,836601,2,NA,NA,NA
836602,836602,2,NA,NA,NA
836701,836701,2,-1.552105,-1.552105,93
837101,837101,2,NA,NA,NA
837102,837102,2,NA,NA,NA
837301,837301,2,NA,NA,69
837302,837302,2,NA,NA,82
837303,837303,2,NA,NA,NA
837401,837401,2,0.8790818,0.8790818,86
837402,837402,2,NA,NA,112
837501,837501,2,-0.8292106,-0.8292106,79.5
837502,837502,2,0.5238913,0.5238913,92
837503,837503,2,-1.145408,-1.145408,92.5
837504,837504,2,0.9141528,0.9141528,92.5
837601,837601,2,-0.8366765,-0.8366765,86
837602,837602,2,-0.5756847,-0.5756847,78
837603,837603,2,-0.3048103,-0.3048103,65
837604,837604,2,-1.286302,-1.286302,79
837605,837605,2,0.6662728,0.6662728,102.5
837701,837701,2,-0.7195252,-0.7195252,65
837702,837702,2,-0.5705317,-0.5705317,81.5
838301,838301,2,-0.3962702,-0.3962702,95
838302,838302,2,0.2203609,0.2203609,99
838701,838701,2,NA,NA,93
838901,838901,2,1.13322,1.13322,85.5
838902,838902,2,1.171085,1.171085,104
838903,838903,2,0.8107003,0.8107003,107
839101,839101,2,-0.07301518,-0.07301518,96
839102,839102,2,-2.029762,-2.029762,96
839103,839103,2,0.1838346,0.1838346,78
839104,839104,2,NA,NA,74
839301,839301,2,0.5238913,0.5238913,94
839302,839302,2,-0.3048103,-0.3048103,98.5
839303,839303,2,-0.8051638,-0.8051638,97
839304,839304,2,NA,NA,116
839501,839501,2,-1.495976,-1.495976,112
839502,839502,2,-1.300147,-1.300147,112
839503,839503,2,-0.7195252,-0.7195252,116
839801,839801,2,-0.8026838,-0.8026838,95
840101,840101,2,-0.5705317,-0.5705317,94.5
840102,840102,2,-0.2057241,-0.2057241,85
840401,840401,2,NA,NA,101
840402,840402,2,NA,NA,101
840501,840501,2,NA,NA,108
840502,840502,2,NA,NA,104.5
840701,840701,2,-0.8366765,-0.8366765,97
840702,840702,2,1.618314,1.618314,93
840703,840703,2,0.4894233,0.4894233,97
840801,840801,2,-0.5083604,-0.5083604,111
840802,840802,2,0.9899671,0.9899671,118
840803,840803,2,NA,NA,117.5
841301,841301,2,0.8685485,0.8685485,88
841302,841302,2,-0.9320246,-0.9320246,85
841601,841601,2,NA,NA,104.5
841602,841602,2,NA,NA,103
841701,841701,2,0.8160296,0.8160296,118
841702,841702,2,NA,NA,118
841703,841703,2,NA,NA,115.5
841801,841801,2,NA,NA,NA
841802,841802,2,NA,NA,NA
841803,841803,2,NA,NA,NA
842201,842201,2,-0.2057241,-0.2057241,94.5
842202,842202,2,0.1516985,0.1516985,95
842203,842203,2,0.1217313,0.1217313,107.5
842204,842204,2,0.3425784,0.3425784,103.5
842205,842205,2,NA,NA,NA
842401,842401,2,NA,NA,77.5
842402,842402,2,NA,NA,NA
842501,842501,2,NA,NA,105
842502,842502,2,NA,NA,NA
842801,842801,2,0.1693038,0.1693038,93
842901,842901,2,NA,NA,108
842902,842902,2,NA,NA,110
842903,842903,2,NA,NA,NA
843001,843001,2,-1.300147,-1.300147,98
843201,843201,2,-0.2057241,-0.2057241,93
843202,843202,2,1.461536,1.461536,89
843401,843401,2,-0.3962702,-0.3962702,114
843402,843402,2,-0.9353394,-0.9353394,101.5
843701,843701,2,NA,NA,NA
843702,843702,2,NA,NA,NA
844501,844501,2,NA,NA,NA
844502,844502,2,NA,NA,NA
844503,844503,2,NA,NA,NA
844601,844601,2,NA,NA,NA
844901,844901,2,NA,NA,102
844902,844902,2,NA,NA,NA
844903,844903,2,NA,NA,NA
845201,845201,2,NA,NA,96
845202,845202,2,NA,NA,NA
845501,845501,2,NA,NA,114
845502,845502,2,NA,NA,NA
845701,845701,2,NA,NA,99
846001,846001,2,NA,NA,89
846002,846002,2,NA,NA,85
846003,846003,2,NA,NA,83
846301,846301,2,0.1482718,0.1482718,121
846701,846701,2,NA,NA,95
847301,847301,2,-0.07301518,-0.07301518,90
847302,847302,2,0.8967499,0.8967499,106.5
847501,847501,2,-1.300147,-1.300147,77
847502,847502,2,-0.4738443,-0.4738443,79.5
847701,847701,2,-0.8292106,-0.8292106,116
847702,847702,2,-1.428112,-1.428112,96.5
847901,847901,2,0.1590836,0.1590836,102
847902,847902,2,0.8415136,0.8415136,91
848001,848001,2,-0.3962702,-0.3962702,94
848002,848002,2,0.8415136,0.8415136,99
848003,848003,2,NA,NA,85.5
848201,848201,2,-1.279265,-1.279265,112
848202,848202,2,NA,NA,94
848301,848301,2,0.888699,0.888699,107
848302,848302,2,-0.8292106,-0.8292106,91.5
848401,848401,2,-1.474085,-1.474085,102
848402,848402,2,-0.4936895,-0.4936895,94.5
848801,848801,2,1.242773,1.242773,105
848802,848802,2,-1.04278,-1.04278,116
848803,848803,2,1.253507,1.253507,102
848804,848804,2,-1.076014,-1.076014,104
849001,849001,2,0.2390861,0.2390861,92
849002,849002,2,1.461536,1.461536,114
849101,849101,2,NA,NA,107
849102,849102,2,NA,NA,98
849201,849201,2,0.1491686,0.1491686,100.5
849202,849202,2,0.8377021,0.8377021,86
849203,849203,2,1.84083,1.84083,89
849301,849301,2,-0.2057241,-0.2057241,90
849302,849302,2,0.170937,0.170937,87
849401,849401,2,0.170937,0.170937,98
849402,849402,2,-0.5520062,-0.5520062,103
849403,849403,2,NA,NA,100
850001,850001,2,0.4765879,0.4765879,87
850002,850002,2,0.5043196,0.5043196,87
850201,850201,2,-1.04278,-1.04278,74.5
850202,850202,2,0.1482718,0.1482718,77.5
850203,850203,2,-0.2057241,-0.2057241,101
850301,850301,2,0.2502398,0.2502398,100
850302,850302,2,-0.2119931,-0.2119931,87
850303,850303,2,NA,NA,NA
850501,850501,2,0.2502398,0.2502398,87
850502,850502,2,0.8967499,0.8967499,80
850503,850503,2,-0.9353394,-0.9353394,96
851001,851001,2,-0.5083604,-0.5083604,97
851002,851002,2,0.2502398,0.2502398,93
851003,851003,2,0.4979817,0.4979817,95
851004,851004,2,-0.1624455,-0.1624455,91
851101,851101,2,-1.145408,-1.145408,NA
851102,851102,2,NA,NA,NA
851103,851103,2,NA,NA,NA
851104,851104,2,NA,NA,NA
851201,851201,2,1.193637,1.193637,NA
851202,851202,2,NA,NA,NA
851301,851301,2,NA,NA,NA
851302,851302,2,-0.1037329,-0.1037329,98
851401,851401,2,-0.5756847,-0.5756847,97
851402,851402,2,NA,NA,NA
851901,851901,2,NA,NA,118
851902,851902,2,NA,NA,97
852201,852201,2,NA,NA,NA
852202,852202,2,NA,NA,114
852203,852203,2,NA,NA,NA
852801,852801,2,NA,NA,NA
852802,852802,2,NA,NA,NA
852901,852901,2,NA,NA,NA
853001,853001,2,NA,NA,NA
853002,853002,2,NA,NA,NA
853101,853101,2,NA,NA,72
853102,853102,2,NA,NA,94
853103,853103,2,NA,NA,105.5
853201,853201,2,2.712737,2.712737,95
853202,853202,2,-0.5705317,-0.5705317,97
853203,853203,2,0.3425784,0.3425784,106
853301,853301,2,NA,NA,NA
853901,853901,2,2.141371,2.141371,95
853902,853902,2,-0.2057241,-0.2057241,98
853903,853903,2,-0.09844722,-0.09844722,91
854001,854001,2,-0.2057241,-0.2057241,90
854002,854002,2,0.5444547,0.5444547,100
854003,854003,2,2.34793,2.34793,108
854201,854201,2,NA,NA,109
854202,854202,2,NA,NA,NA
854601,854601,2,NA,NA,106
854602,854602,2,NA,NA,106
854901,854901,2,0.170937,0.170937,120
854902,854902,2,-0.5083604,-0.5083604,105
855301,855301,2,0.5734948,0.5734948,106.5
855302,855302,2,-2.162741,-2.162741,98
855401,855401,2,NA,NA,NA
855701,855701,2,1.618314,1.618314,96.5
855801,855801,2,-0.07301518,-0.07301518,111
855802,855802,2,-0.2118254,-0.2118254,116.5
856101,856101,2,0.4662158,0.4662158,93
856102,856102,2,-0.5083604,-0.5083604,88
856103,856103,2,NA,NA,94
856104,856104,2,-0.1037329,-0.1037329,101.5
856201,856201,2,NA,NA,99
856601,856601,2,NA,NA,99.5
856801,856801,2,1.606465,1.606465,107.5
857001,857001,2,1.13322,1.13322,102
857002,857002,2,0.5238913,0.5238913,87
857003,857003,2,-0.4958281,-0.4958281,86
857101,857101,2,NA,NA,NA
857102,857102,2,NA,NA,NA
857201,857201,2,NA,NA,89
857202,857202,2,NA,NA,NA
857901,857901,2,0.1590836,0.1590836,78
857902,857902,2,-0.9353394,-0.9353394,93
857903,857903,2,1.253507,1.253507,104
857904,857904,2,-0.159374,-0.159374,113
858001,858001,2,2.530952,2.530952,84
858002,858002,2,1.983122,1.983122,94
858003,858003,2,2.118168,2.118168,92
858301,858301,2,0.1590836,0.1590836,99
858302,858302,2,1.54326,1.54326,89
859001,859001,2,NA,NA,106
859002,859002,2,NA,NA,102
859003,859003,2,NA,NA,NA
859004,859004,2,NA,NA,NA
859005,859005,2,NA,NA,NA
859301,859301,2,NA,NA,96
859302,859302,2,NA,NA,NA
859303,859303,2,NA,NA,NA
859801,859801,2,-1.21185,-1.21185,65
859802,859802,2,0.1590836,0.1590836,83
859803,859803,2,-0.8292106,-0.8292106,79
859804,859804,2,-0.2057241,-0.2057241,88
859805,859805,2,-0.9353394,-0.9353394,91
859806,859806,2,1.170353,1.170353,87.5
860001,860001,2,1.253507,1.253507,89
860002,860002,2,0.804904,0.804904,87.5
860003,860003,2,NA,NA,76
860101,860101,2,NA,NA,90
860102,860102,2,0.1439877,0.1439877,103
860103,860103,2,NA,NA,NA
861001,861001,2,NA,NA,105
861201,861201,2,-0.1800443,-0.1800443,85
861202,861202,2,1.169933,1.169933,126
861301,861301,2,-2.012545,-2.012545,86
861302,861302,2,1.13322,1.13322,103.5
861303,861303,2,-0.159374,-0.159374,NA
861401,861401,2,NA,NA,104.5
861402,861402,2,-0.2119931,-0.2119931,105
861403,861403,2,-0.1696175,-0.1696175,NA
861501,861501,2,-0.2057241,-0.2057241,103
861502,861502,2,0.4765879,0.4765879,102
861503,861503,2,0.5734948,0.5734948,98
861504,861504,2,1.500047,1.500047,94
861801,861801,2,0.8266595,0.8266595,97
861802,861802,2,NA,NA,NA
861803,861803,2,-1.66676,-1.66676,97
861804,861804,2,-0.2118254,-0.2118254,77
861901,861901,2,-1.493309,-1.493309,77
862201,862201,2,NA,NA,103.5
862202,862202,2,NA,NA,111.5
863101,863101,2,-0.3962702,-0.3962702,79
863102,863102,2,-2.123647,-2.123647,87
863103,863103,2,NA,NA,67
863401,863401,2,-0.8292106,-0.8292106,96.5
863402,863402,2,0.888699,0.888699,109
863403,863403,2,-1.145408,-1.145408,86
863404,863404,2,0.5766194,0.5766194,100
863405,863405,2,0.9106162,0.9106162,107.5
863501,863501,2,NA,NA,NA
863502,863502,2,NA,NA,NA
863601,863601,2,-0.5705317,-0.5705317,100.5
863602,863602,2,0.8967499,0.8967499,NA
863701,863701,2,NA,NA,108.5
863801,863801,2,1.54326,1.54326,100
863802,863802,2,0.8160296,0.8160296,97
863901,863901,2,-0.159374,-0.159374,94
863902,863902,2,-1.164993,-1.164993,93.5
863903,863903,2,NA,NA,113
864101,864101,2,1.13322,1.13322,95
864102,864102,2,0.8967499,0.8967499,96
864201,864201,2,-0.2057241,-0.2057241,103
864202,864202,2,NA,NA,99.5
864301,864301,2,-1.664955,-1.664955,94
864302,864302,2,-0.5520062,-0.5520062,103.5
864801,864801,2,1.13322,1.13322,95
864802,864802,2,0.5707661,0.5707661,105
864803,864803,2,0.2502398,0.2502398,NA
864901,864901,2,-0.2057241,-0.2057241,86.5
864902,864902,2,-1.786114,-1.786114,74
865201,865201,2,0.5126741,0.5126741,102
865202,865202,2,0.1590836,0.1590836,105
865203,865203,2,0.2502398,0.2502398,112
865801,865801,2,0.5238913,0.5238913,96.5
865802,865802,2,0.3425784,0.3425784,118.5
866201,866201,2,-0.5705317,-0.5705317,94
866202,866202,2,-1.076014,-1.076014,86.5
866203,866203,2,-1.495976,-1.495976,90
866204,866204,2,NA,NA,NA
866205,866205,2,-1.821625,-1.821625,84
866206,866206,2,0.1838346,0.1838346,78
866401,866401,2,1.789852,1.789852,105
866402,866402,2,0.804904,0.804904,101
866403,866403,2,-0.1910861,-0.1910861,107
866501,866501,2,-1.04278,-1.04278,91
866502,866502,2,-1.821625,-1.821625,101
866801,866801,2,-0.1910861,-0.1910861,116
867301,867301,2,1.866515,1.866515,114
867302,867302,2,1.461536,1.461536,93.5
867303,867303,2,NA,NA,NA
867401,867401,2,NA,NA,NA
867402,867402,2,NA,NA,98
867403,867403,2,NA,NA,91
867404,867404,2,NA,NA,113
867405,867405,2,NA,NA,93
867501,867501,2,-0.07301518,-0.07301518,107
867502,867502,2,0.1308064,0.1308064,112
867503,867503,2,-0.8897734,-0.8897734,106
867901,867901,2,0.5238913,0.5238913,105
867902,867902,2,NA,NA,88
867903,867903,2,NA,NA,124
868001,868001,2,0.9141528,0.9141528,NA
868002,868002,2,NA,NA,106
868401,868401,2,-0.8366765,-0.8366765,87
868501,868501,2,-2.029762,-2.029762,97
868502,868502,2,-1.04278,-1.04278,90
868503,868503,2,0.170937,0.170937,88
869001,869001,2,-1.664955,-1.664955,92
869002,869002,2,-0.3962702,-0.3962702,82
869003,869003,2,0.5734948,0.5734948,90
869004,869004,2,0.8296781,0.8296781,95.5
869201,869201,2,-1.300147,-1.300147,84.5
869202,869202,2,0.4979817,0.4979817,65
869203,869203,2,-1.111047,-1.111047,88
869204,869204,2,NA,NA,115
869301,869301,2,-0.5083604,-0.5083604,98.5
869302,869302,2,0.8266595,0.8266595,93
869401,869401,2,1.13322,1.13322,110
869402,869402,2,0.1482718,0.1482718,115
869501,869501,2,0.888699,0.888699,95
869601,869601,2,-0.1800443,-0.1800443,79
869602,869602,2,-0.1910861,-0.1910861,89.5
869603,869603,2,-0.3764627,-0.3764627,94.5
869604,869604,2,-0.1800443,-0.1800443,80
869701,869701,2,-0.4880518,-0.4880518,89
870101,870101,2,NA,NA,91.5
870102,870102,2,NA,NA,104
870103,870103,2,NA,NA,NA
870104,870104,2,NA,NA,NA
870501,870501,2,-1.162593,-1.162593,91
870502,870502,2,-1.164993,-1.164993,89
870503,870503,2,-0.4738443,-0.4738443,88
870601,870601,2,0.888699,0.888699,101
870602,870602,2,-0.4958281,-0.4958281,96
870603,870603,2,-0.159374,-0.159374,105
870604,870604,2,-0.6922057,-0.6922057,96
870701,870701,2,NA,NA,NA
870702,870702,2,NA,NA,NA
870801,870801,2,-0.8292106,-0.8292106,100
870802,870802,2,-0.3048103,-0.3048103,99
870803,870803,2,NA,NA,117
871401,871401,2,-0.1910861,-0.1910861,106
871402,871402,2,-0.1624455,-0.1624455,116
871403,871403,2,-0.8366765,-0.8366765,105
871501,871501,2,NA,NA,86.5
871502,871502,2,NA,NA,93
871503,871503,2,NA,NA,96.5
871601,871601,2,NA,NA,93
871602,871602,2,NA,NA,NA
871801,871801,2,NA,NA,NA
871802,871802,2,NA,NA,NA
872001,872001,2,NA,NA,NA
872101,872101,2,NA,NA,NA
872801,872801,2,NA,NA,104
872802,872802,2,NA,NA,NA
872803,872803,2,NA,NA,NA
872901,872901,2,NA,NA,104
872902,872902,2,NA,NA,96
872903,872903,2,NA,NA,NA
872904,872904,2,NA,NA,NA
873101,873101,2,NA,NA,85
873102,873102,2,NA,NA,NA
873301,873301,2,NA,NA,80
873302,873302,2,NA,NA,85.5
873303,873303,2,NA,NA,98.5
873304,873304,2,NA,NA,101
873401,873401,2,NA,NA,NA
873402,873402,2,NA,NA,NA
873601,873601,2,NA,NA,NA
873602,873602,2,NA,NA,NA
873901,873901,2,NA,NA,94
873902,873902,2,NA,NA,79
874201,874201,2,NA,NA,101.5
874401,874401,2,NA,NA,108
874402,874402,2,NA,NA,NA
874403,874403,2,NA,NA,NA
874801,874801,2,NA,NA,NA
875001,875001,2,NA,NA,96
875002,875002,2,NA,NA,NA
