"SubjectTag_S1","SubjectTag_S2","ExtendedID","RelationshipPath","EverSharedHouse","R","RFull","IsMz","LastSurvey_S1","LastSurvey_S2","RImplicitPass1","RImplicit","RImplicit2004","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","Generation_S1","Generation_S2","SubjectID_S1","SubjectID_S2","MathStandardized_S1","HeightZGenderAge_S1","MathStandardized_S2","HeightZGenderAge_S2"
12401,12402,124,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,12401,12402,115,0.829678056200991,103.5,0.886509026076423
12801,12802,128,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,12801,12802,113.5,-1.36603523313036,95.5,-1.30014711156026
13701,13702,137,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,13701,13702,118,0.86854849185133,116,0.130806369591495
13801,13802,137,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,13801,13802,125,-1.14540750662708,118,-0.098447220940474
13801,13803,137,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,13801,13803,125,-1.14540750662708,127.5,-0.529695458919556
13802,13803,137,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,13802,13803,118,-0.098447220940474,127.5,-0.529695458919556
14301,14302,142,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,2010,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,2,2,14301,14302,120,NA,97.5,1.17035305243433
14301,14303,142,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,2010,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,2,2,14301,14303,120,NA,116,0.466215815811856
14301,14304,142,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,2008,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,2,2,14301,14304,120,NA,99,-0.628504710460863
14302,14303,142,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,14302,14303,97.5,1.17035305243433,116,0.466215815811856
14302,14304,142,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,14302,14304,97.5,1.17035305243433,99,-0.628504710460863
14303,14304,142,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,14303,14304,116,0.466215815811856,99,-0.628504710460863
14401,14402,142,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,14401,14402,113,1.25168609481458,100,-0.889773376041261
14401,14403,142,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,14401,14403,113,1.25168609481458,111,NA
14402,14403,142,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,14402,14403,100,-0.889773376041261,111,NA
14701,14702,147,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,14701,14702,NA,-1.66675966294572,128.5,-0.69220567789529
14901,14902,148,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,14901,14902,107,-0.911722153348207,114.5,-0.182215286576611
15301,15302,153,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,15301,15302,103.5,0.250239829406562,81,-0.836676544239161
15701,15702,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,15701,15702,105,-1.16499265653554,125,-1.46036277719514
15801,15802,157,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,2002,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,15801,15802,99,NA,108,NA
