CID,MID,CRace,CGender,height,ageht,yearht,weight,agewt,yearwt,age_ht,age_wt,htst,wtst
1008602,10086,3,1,,,,,,,,,,
1014802,10148,3,1,,,,,,,,,,
1016602,10166,2,1,,,,,,,,,,
1018502,10185,1,1,,,,,,,,,,
1021601,10216,3,1,,,,,,,,,,
1022102,10221,3,1,,,,,,,,,,
1026701,10267,3,1,,,,,,,,,,
1026802,10268,3,1,,,,,,,,,,
1026901,10269,3,1,,,,,,,,,,
1028103,10281,3,1,,,,,,,,,,
1028301,10283,3,1,,,,,,,,,,
1028302,10283,3,1,,,,,,,,,,
1029102,10291,3,1,,,,,,,,,,
1029103,10291,3,1,,,,,,,,,,
1034502,10345,3,1,,,,,,,,,,
1036102,10361,3,1,,,,,,,,,,
1036103,10361,3,1,,,,,,,,,,
1037302,10373,2,1,,,,,,,,,,
1040001,10400,3,1,,,,,,,,,,
1040603,10406,1,1,60,,2008,,,,,,,
1045802,10458,3,1,,,,,,,,,,
1048003,10480,3,1,,,,,,,,,,
1048404,10484,3,1,,,,,,,,,,
1049801,10498,3,1,,,,,,,,,,
1051102,10511,1,1,,,,,,,,,,
1052101,10521,1,1,,,,,,,,,,
1052102,10521,1,1,,,,,,,,,,
1053004,10530,1,1,,,,,,,,,,
1056402,10564,3,1,,,,,,,,,,
1058901,10589,3,1,,,,,,,,,,
1059201,10592,3,1,,,,,,,,,,
1059701,10597,3,1,,,,,,,,,,
1059702,10597,3,1,,,,,,,,,,
1059901,10599,3,1,,,,,,,,,,
1059902,10599,3,1,,,,,,,,,,
1061501,10615,2,1,,,,,,,,,,
1061502,10615,2,1,,,,,,,,,,
1061801,10618,3,1,,,,,,,,,,
1062101,10621,2,1,,,,,,,,,,
1062801,10628,1,1,,,,,,,,,,
1067601,10676,2,1,,,,,,,,,,
1067701,10677,3,1,,,,,,,,,,
1068001,10680,2,1,,,,,,,,,,
1068002,10680,2,1,,,,,,,,,,
1068201,10682,3,1,,,,,,,,,,
1068501,10685,3,1,,,,,,,,,,
1068502,10685,3,1,,,,,,,,,,
1068503,10685,3,1,,,,,,,,,,
1068701,10687,3,1,,,,,,,,,,
1068801,10688,2,1,,,,,,,,,,
1068901,10689,3,1,,,,,,,,,,
1069101,10691,3,1,,,,,,,,,,
