"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"9221",949906,949902,0.25,0,3,1,NA,12,17.97205708,NA,NA,NA,82,86,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9222",949906,949901,0.25,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9223",949906,949903,NA,0,3,2,NA,NA,NA,NA,NA,NA,83,88,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9224",949906,949904,NA,0,3,1,NA,NA,NA,NA,NA,NA,75,98,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9225",949907,949902,0.25,0,3,1,NA,12,17.97205708,NA,NA,NA,82,86,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9226",949907,949903,NA,0,3,2,NA,NA,NA,NA,NA,NA,83,88,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9227",949907,949904,NA,0,3,1,NA,NA,NA,NA,NA,NA,75,98,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9228",949907,949901,0.25,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9229",949907,949905,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9230",949907,949906,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9231",950702,950701,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9232",950703,950701,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9233",950703,950702,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9234",951202,951201,0.25,0,2,2,0.510561207,24,22.59412305,17,12,16,103,103,2,1,NA,NA,NA,NA,NA,NA,111,114
"9235",951502,951501,NA,0,3,1,NA,11,18.83035714,NA,NA,NA,102,93,3,1,NA,9,NA,NA,NA,NA,86,82
"9236",951503,951501,NA,0,3,1,NA,11,18.83035714,NA,NA,NA,102,93,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9237",951503,951502,0.25,0,3,1,NA,9,NA,NA,NA,NA,86,82,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9238",951602,951601,0.5,0,1,2,1.205945297,27,22.04476644,16,13,16,97,123,1,1,0.542276012,26,24.82324936,13,NA,15,80,69
"9239",951603,951601,0.5,0,1,2,1.205945297,27,22.04476644,16,13,16,97,123,1,1,-0.764638203,25,22.8049308,14,NA,13,103,100
"9240",951603,951602,0.5,0,1,1,0.542276012,26,24.82324936,13,NA,15,80,69,1,1,-0.764638203,25,22.8049308,14,NA,13,103,100
"9241",951604,951601,0.25,0,1,2,1.205945297,27,22.04476644,16,13,16,97,123,1,2,0.858253252,23,28.97193139,16,12,15,97,97
"9242",951604,951603,0.25,0,1,1,-0.764638203,25,22.8049308,14,NA,13,103,100,1,2,0.858253252,23,28.97193139,16,12,15,97,97
"9243",951604,951602,0.25,0,1,1,0.542276012,26,24.82324936,13,NA,15,80,69,1,2,0.858253252,23,28.97193139,16,12,15,97,97
"9244",951605,951602,0.25,0,1,1,0.542276012,26,24.82324936,13,NA,15,80,69,1,2,0.858253252,21,20.35865449,15,11,15,92,79
"9245",951605,951601,0.25,0,1,2,1.205945297,27,22.04476644,16,13,16,97,123,1,2,0.858253252,21,20.35865449,15,11,15,92,79
"9246",951605,951603,0.25,0,1,1,-0.764638203,25,22.8049308,14,NA,13,103,100,1,2,0.858253252,21,20.35865449,15,11,15,92,79
"9247",951605,951604,0.5,0,1,2,0.858253252,23,28.97193139,16,12,15,97,97,1,2,0.858253252,21,20.35865449,15,11,15,92,79
"9248",951702,951701,0.5,0,1,1,-1.091366757,31,23.49075518,14,NA,13,87,103,1,1,-1.091366757,29,22.70773001,15,NA,11,95,104
"9249",952102,952101,0.25,0,2,2,0.162869162,30,28.95195266,16,13,15,91,100,2,2,-0.532514927,19,29.22524565,16,16,18,112,128
"9250",952103,952101,0.25,0,2,2,0.162869162,30,28.95195266,16,13,15,91,100,2,2,NA,15,28.28639053,NA,14,NA,135,90
"9251",952103,952102,0.5,0,2,2,-0.532514927,19,29.22524565,16,16,18,112,128,2,2,NA,15,28.28639053,NA,14,NA,135,90
"9252",952202,952201,0.5,0,2,2,NA,18,20.52443772,NA,12,NA,89,100,2,1,1.522461674,25,24.37066667,NA,NA,14,104,107
