"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"1356",152504,152503,0.5,0,3,1,0.542276012,25,25.7658179,14,NA,14,113,105,3,2,-1.575591062,23,16.79388889,13,12,13,NA,NA
"1357",152504,152502,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,-1.575591062,23,16.79388889,13,12,13,NA,NA
"1358",152505,152502,0.25,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,15,20.52443772,NA,NA,NA,98,90
"1359",152505,152501,0.25,0,3,1,0.215547459,31,38.35052569,15,NA,16,107,116,3,1,NA,15,20.52443772,NA,NA,NA,98,90
"1360",152505,152503,0.25,0,3,1,0.542276012,25,25.7658179,14,NA,14,113,105,3,1,NA,15,20.52443772,NA,NA,NA,98,90
"1361",152505,152504,0.25,0,3,2,-1.575591062,23,16.79388889,13,12,13,NA,NA,3,1,NA,15,20.52443772,NA,NA,NA,98,90
"1362",153202,153201,0.25,0,3,2,-0.532514927,26,26.56840514,15,11,15,113,100,3,1,NA,17,22.95510204,15,NA,13,97,99
"1363",153203,153201,0.25,0,3,2,-0.532514927,26,26.56840514,15,11,15,113,100,3,2,NA,NA,NA,NA,NA,NA,123,120
"1364",153203,153202,0.25,0,3,1,NA,17,22.95510204,15,NA,13,97,99,3,2,NA,NA,NA,NA,NA,NA,123,120
"1365",153204,153201,0.25,0,3,2,-0.532514927,26,26.56840514,15,11,15,113,100,3,1,NA,NA,NA,NA,NA,NA,69,79
"1366",153204,153202,0.25,0,3,1,NA,17,22.95510204,15,NA,13,97,99,3,1,NA,NA,NA,NA,NA,NA,69,79
"1367",153204,153203,0.5,0,3,2,NA,NA,NA,NA,NA,NA,123,120,3,1,NA,NA,NA,NA,NA,NA,69,79
"1368",153302,153301,0.25,0,1,2,-1.227899017,24,27.3945176,15,12,14,87,101,1,1,NA,18,22.78240741,14,NA,11,97,104
"1369",153402,153401,0.5,0,1,1,-0.764638203,20,22.04476644,18,NA,14,100,135,1,1,-0.437909649,23,19.93383743,18,NA,12,105,111
"1370",153802,153801,0.5,0,1,1,-0.437909649,23,26.57844991,16,NA,NA,99,109,1,2,NA,16,26.94604492,16,10,14,91,97
"1371",153902,153901,0.5,0,3,2,-1.575591062,20,26.3625,NA,11,13,104,101,3,1,-0.764638203,21,22.04476644,14,NA,10,107,95
"1372",154102,154101,0.5,0,3,1,-1.744823865,24,28.28639053,15,NA,14,108,103,3,1,-1.091366757,22,23.49075518,15,NA,12,65,92
"1373",154402,154401,0.5,0,3,2,-0.184822883,29,22.31201172,17,13,17,91,91,3,1,-1.418095311,27,22.70773001,17,NA,14,117,99
"1374",154403,154401,0.25,0,3,2,-0.184822883,29,22.31201172,17,13,17,91,91,3,1,NA,NA,NA,NA,NA,NA,80,103
"1375",154403,154402,0.25,0,3,1,-1.418095311,27,22.70773001,17,NA,14,117,99,3,1,NA,NA,NA,NA,NA,NA,80,103
"1376",154602,154601,0.5,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,16,20.91846856,NA,NA,13,107,94
"1377",154603,154601,0.5,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,-0.184822883,22,21.45385742,18,14,12,95,99
"1378",154603,154602,0.5,0,3,1,NA,16,20.91846856,NA,NA,13,107,94,3,2,-0.184822883,22,21.45385742,18,14,12,95,99
"1379",154802,154801,0.5,0,3,1,-0.111181095,29,20.08571429,12,NA,12,86,95,3,2,-0.184822883,24,21.45385742,12,11,12,97,103
"1380",154902,154901,0.5,0,3,1,0.542276012,25,25.7658179,19,NA,12,86,81,3,2,0.162869162,24,23.29467456,17,12,12,97,103
"1381",154903,154901,0.5,0,3,1,0.542276012,25,25.7658179,19,NA,12,86,81,3,1,0.869004566,21,19.78795271,18,NA,18,108,65
"1382",154903,154902,0.5,0,3,2,0.162869162,24,23.29467456,17,12,12,97,103,3,1,0.869004566,21,19.78795271,18,NA,18,108,65
"1383",154904,154901,0.5,0,3,1,0.542276012,25,25.7658179,19,NA,12,86,81,3,1,0.542276012,19,19.66338735,17,NA,10,93,80
